algorithm_id,instance,run_idx,hv,igd_plus,spacing,spread,n_pareto,n_f1_layers,status
smsemoa,c103_21,7,732493323.333468,247.695835,1.44391,8252.3876,105,9,ok
smsemoa,c103_21,8,675167621.022123,378.320449,2.184397,11070.52,105,8,ok
smsemoa,c103_21,9,622210261.201485,392.119624,1.482451,7036.842,105,7,ok
smsemoa,c103_21,10,703213771.912361,387.071475,1.305064,8297.9868,105,8,ok
smsemoa,c103_21,11,632583518.699314,423.708287,1.416735,9069.2856,105,8,ok
smsemoa,c103_21,12,689841995.032529,338.428517,0.804832,8189.6533,105,9,ok
smsemoa,c103_21,13,613892280.036386,424.451062,1.474006,11415.8576,105,8,ok
smsemoa,c103_21,14,692930657.410923,252.452855,1.403144,14855.3219,105,8,ok
smsemoa,c103_21,15,705702057.3295,310.526791,1.51278,9956.8363,105,8,ok
smsemoa,c103_21,16,642837190.022501,376.937363,1.012153,7881.2608,105,7,ok
smsemoa,c103_21,17,682030489.879344,300.89955,1.228374,10228.223,105,7,ok
smsemoa,c103_21,18,599798055.574991,557.154027,1.117545,11010.6723,105,8,ok
smsemoa,c103_21,19,623927173.725004,332.348108,1.18298,5672.436,105,6,ok
smsemoa,c103_21,20,613636765.36118,489.706556,0.699882,7245.0163,105,7,ok
smsemoa,c103_21,21,663527687.737802,413.696518,3.235997,13316.8425,105,11,ok
smsemoa,c103_21,22,718189630.15273,265.055426,1.756246,8327.548,105,9,ok
smsemoa,c103_21,23,568918637.643355,581.880622,1.331636,7768.3617,105,12,ok
smsemoa,c103_21,24,581899428.102505,489.315676,1.102464,6698.8305,105,6,ok
smsemoa,c103_21,25,729413857.742903,289.591933,2.192104,9430.1631,105,10,ok
smsemoa,c103_21,26,601800287.291288,490.610543,0.824031,11819.9763,105,9,ok
smsemoa,c103_21,27,651369173.772725,308.040655,1.053969,11648.4126,105,8,ok
smsemoa,c103_21,28,674345095.781263,419.188444,1.799742,7311.9452,105,8,ok
smsemoa,c103_21,29,628643351.034365,426.154038,1.374923,7073.2064,105,11,ok
smsemoa,c103_21,30,681082201.053651,368.066884,1.593194,8371.8685,105,8,ok
moead_ws,c104_21,1,415026896.770647,284.104686,8.816668,22090.0563,92,6,ok
moead_ws,c104_21,2,328857368.07341,714.791112,8.308014,17279.0119,90,6,ok
moead_ws,c104_21,3,365730871.433726,520.550459,8.515049,15171.7875,85,6,ok
moead_ws,c104_21,4,402642949.773721,468.966642,7.979733,11662.567,96,4,ok
moead_ws,c104_21,5,492493289.119367,156.363348,8.752159,14567.8301,85,5,ok
moead_ws,c104_21,6,421535696.287486,254.044281,9.479361,26150.0815,94,6,ok
moead_ws,c104_21,7,386331264.282855,440.968157,9.321677,11791.1912,93,4,ok
