config_id,config_label,instance,run_idx,seed,n_neighbors,prob_neighbor_mating,decomposition,pbi_theta,n_evals,effective_evals,n_feasible,n_total,n_unique_obj,n_unique_feasible,n_f1_layers,best_f1,best_f2,best_f3,hv_raw,elapsed_s,timestamp,error
C5,n_neigh=3,r106_21,3,2587693159,3,0.9,tchebycheff,,300000,300090,105,105,71,71,7,25.0,2376.3167719318017,108.4457689966966,0.0,698.492,2026-04-11T03:36:44,
C5,n_neigh=3,r106_21,4,4077232059,3,0.9,tchebycheff,,300000,300090,105,105,66,66,6,27.0,2364.2973375968595,76.47010686248021,0.0,697.63,2026-04-11T03:36:45,
C5,n_neigh=3,c208_21,4,2694677035,3,0.9,tchebycheff,,300000,300090,105,105,64,64,1,12.0,3525.912978496371,1672.2102354736944,227596079469.355,1122.653,2026-04-11T03:38:53,
C5,n_neigh=3,r201_21,1,867321865,3,0.9,tchebycheff,,300000,300090,105,105,59,59,2,13.0,2530.616047224885,202.29553818993912,0.0,829.618,2026-04-11T03:39:08,
C5,n_neigh=3,r201_21,2,2885951626,3,0.9,tchebycheff,,300000,300090,105,105,64,64,3,12.0,2805.1342228982776,227.77994423368872,0.0,843.788,2026-04-11T03:39:57,
C5,n_neigh=3,r201_21,3,3768921978,3,0.9,tchebycheff,,300000,300090,105,105,68,68,4,13.0,2503.864223748151,156.42034698785193,0.0,801.798,2026-04-11T03:44:51,
C5,n_neigh=3,r201_21,4,1044124360,3,0.9,tchebycheff,,300000,300090,105,105,62,62,2,13.0,2735.3722615289357,404.5722278314486,0.0,841.465,2026-04-11T03:45:47,
C6,prob=0.7,c101_21,2,2358371808,10,0.7,tchebycheff,,300000,300090,105,105,25,25,2,29.0,3405.008218796268,5112.320121498979,0.0,720.581,2026-04-11T03:47:28,
C6,prob=0.7,c101_21,1,679319305,10,0.7,tchebycheff,,300000,300090,105,105,21,21,2,29.0,3414.563066037312,4264.248827214672,0.0,758.476,2026-04-11T03:47:29,
C6,prob=0.7,c101_21,3,2732694971,10,0.7,tchebycheff,,300000,300090,105,105,34,34,3,31.0,3691.181990576043,4756.6914065061555,0.0,740.369,2026-04-11T03:48:15,
C6,prob=0.7,c101_21,4,646473239,10,0.7,tchebycheff,,300000,300090,105,105,24,24,2,31.0,3837.2667508095037,3184.5030680583513,0.0,755.708,2026-04-11T03:49:19,
C6,prob=0.7,c208_21,2,2822908497,10,0.7,tchebycheff,,300000,300090,105,105,39,39,1,12.0,2946.21774353203,2621.570486726576,267631755677.84094,1030.761,2026-04-11T03:56:04,
C6,prob=0.7,r106_21,1,881130364,10,0.7,tchebycheff,,300000,300090,105,105,33,33,2,31.0,2457.3334676764416,135.728614836911,0.0,681.884,2026-04-11T03:56:13,
C6,prob=0.7,c208_21,1,2990592667,10,0.7,tchebycheff,,300000,300090,105,105,38,38,1,10.0,3209.790038505508,6885.805576593193,250718260679.16498,1202.714,2026-04-11T03:56:48,
C6,prob=0.7,r106_21,2,718666281,10,0.7,tchebycheff,,300000,300090,105,105,37,37,3,29.0,2483.1380971401213,14.83414883179401,0.0,666.318,2026-04-11T03:56:54,
C6,prob=0.7,c208_21,3,2989731654,10,0.7,tchebycheff,,300000,300090,105,105,33,33,1,12.0,3299.966878233247,4578.172124338707,242003983674.4227,1125.881,2026-04-11T03:57:54,
C6,prob=0.7,r106_21,4,2729729967,10,0.7,tchebycheff,,300000,300090,105,105,33,33,2,30.0,2504.993768804608,85.99310754982663,0.0,668.537,2026-04-11T03:58:38,
C6,prob=0.7,r106_21,3,941062313,10,0.7,tchebycheff,,300000,300090,105,105,34,34,6,26.0,2447.7873915598066,71.49549407264918,0.0,675.575,2026-04-11T03:58:43,
C6,prob=0.7,c208_21,4,1039790379,10,0.7,tchebycheff,,300000,300090,105,105,36,36,1,11.0,3013.958717357631,3490.5468250836307,264356231914.16345,1148.759,2026-04-11T03:59:06,
C6,prob=0.7,r201_21,1,579949656,10,0.7,tchebycheff,,300000,300090,105,105,36,36,1,15.0,2630.006668553884,213.76037898761768,0.0,827.449,2026-04-11T04:02:03,
C6,prob=0.7,r201_21,2,3791761399,10,0.7,tchebycheff,,300000,300090,105,105,42,42,2,13.0,2563.568804401255,166.82881251130138,0.0,804.714,2026-04-11T04:02:44,
C7,prob=0.5,c101_21,2,1735104786,10,0.5,tchebycheff,,300000,300090,105,105,14,14,1,28.0,3582.906782132721,3287.9543222315665,0.0,760.326,2026-04-11T04:09:34,
C7,prob=0.5,c101_21,1,3416649730,10,0.5,tchebycheff,,300000,300090,105,105,21,21,2,31.0,3876.92289187069,5280.426131091487,0.0,782.415,2026-04-11T04:09:50,
C7,prob=0.5,c101_21,4,414477646,10,0.5,tchebycheff,,300000,300090,105,105,24,24,2,29.0,3358.9093480914976,5434.191470291166,0.0,717.563,2026-04-11T04:10:35,
C6,prob=0.7,r201_21,4,502721852,10,0.7,tchebycheff,,300000,300090,105,105,39,39,2,13.0,2538.669123973729,607.7754236304329,0.0,888.453,2026-04-11T04:11:01,
