perm_id,c_f1,c_f2,c_g2,c_n_vehicles,c_total_distance,c_n_recharges,c_n_skipped,c_feasible,a_f1,a_f2,a_g2,a_n_vehicles,a_total_distance,a_n_recharges,a_n_skipped,a_feasible
17,59428.5328174528,0.0034533008588991665,0.0,53,6428.532817452793,156,0,1,7419.803683412751,0.835878990184471,84.66861212830949,2,5419.803683412751,77,0,0
18,54078.29877794317,0.018549139806775194,0.0,48,6078.29877794317,141,0,1,6804.0376260097555,0.8223294226247642,67.57073603441697,2,4804.0376260097555,75,0,0
19,61599.26926252236,0.00964132375261817,0.0,55,6599.26926252236,162,0,1,7462.481552692607,0.8448565440450965,76.95119580727713,2,5462.481552692607,83,0,0
20,56116.75391944738,0.0031950849718747065,0.0,50,6116.753919447378,147,0,1,7178.297861566723,0.8152419519597355,84.90681915963648,2,5178.297861566723,74,0,0
21,61501.958071925765,0.0,0.0,55,6501.958071925762,162,0,1,7580.798338007524,0.8709811020868976,74.19396818528205,2,5580.798338007524,80,0,0
22,55086.92808112973,0.0,0.0,49,6086.928081129726,144,0,1,7004.160227309617,0.811661751453708,59.901465528769975,2,5004.160227309617,75,0,0
23,54126.28755600408,0.0028020815280171973,0.0,48,6126.287556004075,141,0,1,7045.73732749627,0.874657423397303,150.2999434124398,2,5045.73732749627,71,0,0
24,60573.81677601908,0.004872952881216697,0.0,54,6573.816776019075,159,0,1,7303.284490195038,0.8438544873488867,34.64194763514705,2,5303.284490195038,84,0,0
25,57180.06305459316,0.018184718242521547,0.0,51,6180.063054593163,150,0,1,7249.629772726737,0.8586730434039653,95.07718972170119,2,5249.629772726737,77,0,0
26,58070.706470035686,0.007259736011654083,0.0,52,6070.706470035688,153,0,1,7162.408338295014,0.8578316326103481,91.86093729745525,2,5162.408338295014,77,0,0
27,52661.87227556188,0.0,0.0,47,5661.872275561876,138,0,1,6821.012360570194,0.8422158548019746,86.94276606536961,2,4821.012360570194,74,0,0
28,54157.3506491748,0.0077890176688497625,0.0,48,6157.350649174797,141,0,1,7001.246954503626,0.8749942384709224,83.48858948020586,2,5001.246954503626,79,0,0
29,51748.54556320109,0.015119606661168072,0.0,46,5748.5455632010935,135,0,1,6936.506730597784,0.8119077506899234,55.455383326035566,2,4936.506730597784,76,0,0
30,53923.38235291942,0.010485317866734345,0.0,48,5923.38235291942,141,1,1,7098.394708957829,0.8428643474318144,91.90196406431727,2,5098.394708957829,73,0,0
31,53680.909144528,0.008461254691764397,0.0,48,5680.909144528001,141,0,1,6798.546403150145,0.8102977150117548,63.468381284201605,2,4798.546403150145,70,0,0
32,59571.94256515597,0.0,0.0,53,6571.94256515597,156,0,1,7395.958102075412,0.8536033731292914,61.978198099175884,2,5395.958102075412,84,0,0
33,57117.821176906735,0.0007340329667842038,0.0,51,6117.8211769067375,150,0,1,6970.188812295928,0.8003553901416107,78.95144649184701,2,4970.188812295928,71,0,0
34,51799.48300851469,0.00817918210966806,0.0,46,5799.4830085146905,135,0,1,6782.893815019802,0.8167516426776277,90.90014231638642,2,4782.893815019802,68,0,0
35,55028.954375729976,0.009901002588562413,0.0,49,6028.954375729975,144,0,1,7230.551165325047,0.8550089715651157,77.76297907526617,2,5230.551165325047,80,0,0
36,59631.97207315472,0.005546557697592491,0.0,53,6631.972073154718,156,0,1,7482.492132515541,0.857538486511667,66.67897840810372,2,5482.492132515541,84,0,0
37,52656.62385234582,0.0022753865671270024,0.0,47,5656.623852345822,138,0,1,6941.492904333794,0.8720552026690278,44.96603428337723,2,4941.492904333794,75,0,0
38,56114.99638598306,0.007437685851025888,0.0,50,6114.996385983061,147,0,1,6878.170172746525,0.8113523043286169,43.80582313118141,2,4878.170172746525,78,0,0
39,58180.6308717328,0.01271726904695858,0.0,52,6180.6308717328,153,0,1,7233.966052853374,0.8628947145382136,66.14910238349991,2,5233.966052853374,78,0,0
40,54894.19798741411,0.0007500000000000284,0.0,49,5894.197987414108,144,0,1,7172.883778818955,0.8645408920819689,89.58981000983998,2,5172.883778818955,77,0,0
41,52658.18625649082,0.011216279217612146,0.0,47,5658.186256490819,138,0,1,6726.493047245063,0.8548121739145689,82.1452140955689,2,4726.493047245063,70,0,0
42,56205.19201910662,0.0,0.0,50,6205.192019106615,147,0,1,7119.495889294118,0.8764347268963376,59.26772594531436,2,5119.495889294118,79,0,0
43,59482.92904515557,0.00036556443707469466,0.0,53,6482.929045155569,156,0,1,7322.5871036463395,0.8666985771266017,60.033081942817574,2,5322.5871036463395,83,0,0
44,57162.01557227537,0.0037001057943834015,0.0,51,6162.01557227537,150,0,1,7256.2495218292615,0.8429764591584787,72.71897453537221,2,5256.2495218292615,80,0,0
45,57167.89824992072,0.007072076438715658,0.0,51,6167.898249920717,150,0,1,7023.001182098787,0.8224737765748665,59.29291247047779,2,5023.001182098787,75,0,0
46,62860.07049707801,0.00045000000000006146,0.0,56,6860.070497078013,165,0,1,7541.095503426577,0.8617200079577433,78.8090558832554,2,5541.095503426577,82,0,0
47,58129.59276019639,0.009369383388923791,0.0,52,6129.59276019639,153,0,1,7344.542249688082,0.8459986306221907,57.81870665444107,2,5344.542249688082,77,0,0
48,58262.974602988164,0.0,0.0,52,6262.9746029881635,153,0,1,7316.155460799902,0.7967225834580349,54.32204499996264,2,5316.155460799902,77,0,0
49,55968.430525080934,0.004417156809750966,0.0,50,5968.430525080931,147,0,1,7207.17774171991,0.8687923085216117,79.04924671222669,2,5207.17774171991,76,0,0
50,56084.97660870199,0.006368939612572011,0.0,50,6084.976608701988,147,0,1,7404.204484635719,0.8456546074398035,98.3933258279446,2,5404.204484635719,78,0,0
