algorithm_id,instance,run_idx,seed,n_evals_budget,n_evals_actual,n_feasible,n_pareto,hv_quick,igd_plus_quick,best_f1,best_f2,best_f3,n_f1_layers,elapsed_seconds,timestamp_start,timestamp_end,status,pickle_path,git_commit
moead_ws,c108_21,7,3272204666,850000,850080,105,88,222041959.117864,,14.0,1814.425,710.7468,7,2170.604,2026-04-24T01:29:23,2026-04-24T02:05:34,ok,pickles\moead_ws\c108_21\run07.pkl,ee61198
nsga2,c208_21,18,2712448014,850000,850080,105,105,29834752.26775,,4.0,924.2634,0.0,4,3413.768,2026-04-24T01:14:48,2026-04-24T02:11:41,ok,pickles\nsga2\c208_21\run18.pkl,ee61198
nsga2,c109_21,11,502328214,850000,850080,105,105,86869001.270801,,13.0,1730.0513,442.74,8,1856.646,2026-04-24T01:52:31,2026-04-24T02:23:28,ok,pickles\nsga2\c109_21\run11.pkl,ee61198
nsga2,c109_21,23,645958890,850000,850080,105,105,45698216.369881,,13.0,1531.7395,119.2596,6,1841.257,2026-04-24T01:53:03,2026-04-24T02:23:44,ok,pickles\nsga2\c109_21\run23.pkl,ee61198
moead_ws,c208_21,14,3577819045,850000,850080,105,104,72016183.271498,,5.0,1042.7748,524.4625,3,3524.081,2026-04-24T01:32:39,2026-04-24T02:31:23,ok,pickles\moead_ws\c208_21\run14.pkl,ee61198
moead_ws,c208_21,25,775659426,850000,850080,105,98,159977745.082938,,5.0,1175.1018,1506.5867,4,3248.562,2026-04-24T01:38:51,2026-04-24T02:33:00,ok,pickles\moead_ws\c208_21\run25.pkl,ee61198
moead_ws,c208_21,24,3100431329,850000,850080,105,99,68428438.32636,,6.0,1126.2768,138.3534,3,3456.202,2026-04-24T01:38:45,2026-04-24T02:36:21,ok,pickles\moead_ws\c208_21\run24.pkl,ee61198
nsga2,c108_21,8,717219475,850000,850080,105,105,97468362.355701,,12.0,1674.9219,261.0355,8,1848.748,2026-04-24T02:11:41,2026-04-24T02:42:30,ok,pickles\nsga2\c108_21\run08.pkl,ee61198
smsemoa,c108_21,20,2938004918,850000,850080,105,105,53034918.514755,,12.0,1603.707,257.3265,7,1852.26,2026-04-24T02:23:44,2026-04-24T02:54:37,ok,pickles\smsemoa\c108_21\run20.pkl,ee61198
nsga2,c208_21,20,3339229581,850000,850080,105,105,48603278.004135,,5.0,1015.5908,0.0,4,2950.519,2026-04-24T02:05:34,2026-04-24T02:54:45,ok,pickles\nsga2\c208_21\run20.pkl,ee61198
moead_ws,c208_21,6,509948147,850000,850080,105,89,99735522.04811,,5.0,1141.1796,1359.8546,4,3514.341,2026-04-24T01:57:19,2026-04-24T02:55:54,ok,pickles\moead_ws\c208_21\run06.pkl,ee61198
moead_ws,c108_21,19,2340139751,850000,850080,105,103,157318112.098389,,15.0,1772.1089,743.2725,7,2207.297,2026-04-24T02:23:29,2026-04-24T03:00:17,ok,pickles\moead_ws\c108_21\run19.pkl,ee61198
smsemoa,c109_21,16,1688832449,850000,850080,105,105,24203730.081857,,13.0,1426.7581,418.9206,6,1900.467,2026-04-24T02:31:23,2026-04-24T03:03:04,ok,pickles\smsemoa\c109_21\run16.pkl,ee61198
smsemoa,c108_21,2,2581171862,850000,850080,105,105,16068764.857804,,13.0,1516.6925,0.1763,4,1847.355,2026-04-24T02:54:37,2026-04-24T03:25:24,ok,pickles\smsemoa\c108_21\run02.pkl,ee61198
nsga2,c208_21,23,2283199305,850000,850080,105,105,67815574.054858,,4.0,907.3453,0.0,5,3262.3,2026-04-24T02:33:00,2026-04-24T03:27:22,ok,pickles\nsga2\c208_21\run23.pkl,ee61198
smsemoa,c109_21,23,1696118193,850000,850080,105,105,34366859.517034,,11.0,1328.0472,3.198,7,1932.769,2026-04-24T02:55:54,2026-04-24T03:28:07,ok,pickles\smsemoa\c109_21\run23.pkl,ee61198
nsga2,c208_21,3,1778264890,850000,850080,105,105,23548465.77389,,5.0,1012.4173,10.6977,2,3206.608,2026-04-24T02:36:21,2026-04-24T03:29:48,ok,pickles\nsga2\c208_21\run03.pkl,ee61198
smsemoa,c108_21,29,134399928,850000,850080,105,105,88447684.243017,,13.0,1556.0463,0.0,9,1871.622,2026-04-24T03:03:04,2026-04-24T03:34:16,ok,pickles\smsemoa\c108_21\run29.pkl,ee61198
moead_ws,c208_21,15,2978359199,850000,850080,105,103,70960350.151059,,5.0,1054.2058,665.2611,3,3276.674,2026-04-24T02:42:32,2026-04-24T03:37:09,ok,pickles\moead_ws\c208_21\run15.pkl,ee61198
smsemoa,c208_21,23,2554715924,850000,850080,105,105,89197597.025895,,4.0,1096.125,17.0272,4,3208.024,2026-04-24T02:54:45,2026-04-24T03:48:13,ok,pickles\smsemoa\c208_21\run23.pkl,ee61198
smsemoa,c208_21,28,397987787,850000,850080,105,105,41712181.653061,,5.0,1079.8807,502.1413,3,2971.035,2026-04-24T03:00:17,2026-04-24T03:49:48,ok,pickles\smsemoa\c208_21\run28.pkl,ee61198
moead_ws,c109_21,30,1044651031,850000,850080,105,95,73180529.476531,,13.0,1739.3596,664.5897,5,2268.596,2026-04-24T03:27:24,2026-04-24T04:05:13,ok,pickles\moead_ws\c109_21\run30.pkl,ee61198
moead_ws,c109_21,27,2697697183,850000,850080,105,91,68702638.015311,,14.0,1613.8783,0.0,4,2235.091,2026-04-24T03:28:08,2026-04-24T04:05:23,ok,pickles\moead_ws\c109_21\run27.pkl,ee61198
