algorithm_id,instance,run_idx,seed,n_evals_budget,n_evals_actual,n_feasible,n_pareto,hv_quick,igd_plus_quick,best_f1,best_f2,best_f3,n_f1_layers,elapsed_seconds,timestamp_start,timestamp_end,status,pickle_path,git_commit
moead_ws,r110_21,1,1512156018,850000,850080,105,64,4438261.885987,,16.0,1551.8407,0.0,7,1844.104,2026-04-13T02:46:53,2026-04-13T03:17:37,ok,pickles/moead_ws/r110_21/run01.pkl,41f34bd
nsga2,r201_21,5,1323754377,850000,850080,105,105,139329210.586561,,5.0,1168.591,321.625,7,2086.351,2026-04-13T02:43:38,2026-04-13T03:18:25,ok,pickles/nsga2/r201_21/run05.pkl,41f34bd
nsga2,r201_21,9,2067340839,850000,850080,105,105,186445776.765642,,5.0,1288.5615,195.6275,7,2113.963,2026-04-13T02:52:03,2026-04-13T03:27:17,ok,pickles/nsga2/r201_21/run09.pkl,41f34bd
moead_ws,c104_21,10,1003750165,850000,850080,105,45,81515030.92837,,12.0,1599.7291,16.4272,6,2296.977,2026-04-13T02:52:57,2026-04-13T03:31:14,ok,pickles/moead_ws/c104_21/run10.pkl,41f34bd
nsga2,r110_21,3,1370293527,850000,850080,105,63,3454072.689748,,15.0,1475.5608,0.0,6,1483.261,2026-04-13T03:10:14,2026-04-13T03:34:57,ok,pickles/nsga2/r110_21/run03.pkl,41f34bd
nsga2,r110_21,4,8143140,850000,850080,105,46,1166853.911468,,14.0,1460.4063,0.0,5,1505.838,2026-04-13T03:12:03,2026-04-13T03:37:09,ok,pickles/nsga2/r110_21/run04.pkl,41f34bd
moead_ws,r110_21,4,354805255,850000,850080,105,64,6699688.6983,,16.0,1616.6305,0.0,7,1916.99,2026-04-13T03:10:21,2026-04-13T03:42:18,ok,pickles/moead_ws/r110_21/run04.pkl,41f34bd
moead_ws,r110_21,6,705106959,850000,850080,105,75,3766289.666388,,16.0,1598.2765,0.0,6,1899.712,2026-04-13T03:10:52,2026-04-13T03:42:32,ok,pickles/moead_ws/r110_21/run06.pkl,41f34bd
moead_ws,c104_21,6,4119279073,850000,850080,105,84,131995000.114554,,12.0,1562.1119,0.0,5,2284.697,2026-04-13T03:04:30,2026-04-13T03:42:35,ok,pickles/moead_ws/c104_21/run06.pkl,41f34bd
smsemoa,c104_21,10,1420138609,850000,850080,105,88,14446352.346434,,11.0,1337.7835,0.0,6,1732.226,2026-04-13T03:18:25,2026-04-13T03:47:17,ok,pickles/smsemoa/c104_21/run10.pkl,41f34bd
moead_ws,r201_21,7,1837923721,850000,850080,105,72,85898066.58942,,7.0,1091.3372,217.1353,3,2486.581,2026-04-13T03:06:18,2026-04-13T03:47:45,ok,pickles/moead_ws/r201_21/run07.pkl,41f34bd
moead_ws,c101_21,1,3353853879,850000,850080,105,64,150637324.67454,,17.0,1828.9071,2423.8129,6,1996.137,2026-04-13T03:17:37,2026-04-13T03:50:53,ok,pickles/moead_ws/c101_21/run01.pkl,41f34bd
nsga2,r110_21,5,2196816195,850000,850080,105,72,4308326.033806,,15.0,1562.8824,0.0,7,1480.335,2026-04-13T03:31:14,2026-04-13T03:55:54,ok,pickles/nsga2/r110_21/run05.pkl,41f34bd
nsga2,c101_21,7,2838736485,850000,850080,105,105,63036466.035731,,13.0,1617.046,1699.5706,9,1518.032,2026-04-13T03:34:57,2026-04-13T04:00:15,ok,pickles/nsga2/c101_21/run07.pkl,41f34bd
smsemoa,r201_21,3,3244045860,850000,850080,105,105,47337221.730557,,5.0,1319.4879,253.7075,6,2170.102,2026-04-13T03:27:17,2026-04-13T04:03:27,ok,pickles/smsemoa/r201_21/run03.pkl,41f34bd
smsemoa,c104_21,1,2130620278,850000,850080,105,105,19010459.563741,,11.0,1473.4845,62.1142,6,1819.653,2026-04-13T03:42:18,2026-04-13T04:12:38,ok,pickles/smsemoa/c104_21/run01.pkl,41f34bd
nsga2,c104_21,9,3344714538,850000,850080,105,75,30347883.028429,,11.0,1465.1276,0.0,6,1836.825,2026-04-13T03:42:32,2026-04-13T04:13:09,ok,pickles/nsga2/c104_21/run09.pkl,41f34bd
moead_ws,c104_21,7,3399694443,850000,850080,105,21,1342024.352926,,13.0,1448.5427,0.0,2,2218.605,2026-04-13T03:37:09,2026-04-13T04:14:07,ok,pickles/moead_ws/c104_21/run07.pkl,41f34bd
nsga2,c101_21,3,3440718868,850000,850080,105,71,182587961.53167,,15.0,1809.2155,2616.2227,10,1461.421,2026-04-13T03:50:53,2026-04-13T04:15:14,ok,pickles/nsga2/c101_21/run03.pkl,41f34bd
moead_ws,c101_21,10,745220000,850000,850080,105,84,227758088.765451,,17.0,1846.6038,3023.8271,5,1984.807,2026-04-13T03:42:35,2026-04-13T04:15:39,ok,pickles/moead_ws/c101_21/run10.pkl,41f34bd
smsemoa,r110_21,4,4027091099,850000,850080,105,42,638575.594446,,15.0,1496.6071,0.0,3,1492.085,2026-04-13T03:55:54,2026-04-13T04:20:46,ok,pickles/smsemoa/r110_21/run04.pkl,41f34bd
moead_ws,c101_21,3,2689387822,850000,850080,105,31,72473353.658487,,17.0,1908.5551,2208.9824,3,2051.415,2026-04-13T03:47:45,2026-04-13T04:21:56,ok,pickles/moead_ws/c101_21/run03.pkl,41f34bd
smsemoa,r201_21,9,3066483336,850000,850080,105,105,264758762.956862,,5.0,1199.3447,254.5055,8,2213.153,2026-04-13T03:47:17,2026-04-13T04:24:10,ok,pickles/smsemoa/r201_21/run09.pkl,41f34bd
moead_ws,r201_21,3,3326526468,850000,850080,105,39,109198606.542018,,7.0,1189.8771,59.744,4,2277.702,2026-04-13T04:00:15,2026-04-13T04:38:13,ok,pickles/moead_ws/r201_21/run03.pkl,41f34bd
nsga2,c104_21,1,1020560067,850000,850080,105,95,59786689.490331,,10.0,1409.6546,9.0675,9,1805.483,2026-04-13T04:15:14,2026-04-13T04:45:20,ok,pickles/nsga2/c104_21/run01.pkl,41f34bd
nsga2,r201_21,7,3114734858,850000,850080,105,105,178329586.509563,,6.0,1205.1438,311.9135,7,2023.207,2026-04-13T04:12:38,2026-04-13T04:46:21,ok,pickles/nsga2/r201_21/run07.pkl,41f34bd
moead_ws,c101_21,7,670590591,850000,850080,105,98,473359901.082358,,18.0,1914.6549,2869.0817,6,2134.883,2026-04-13T04:13:09,2026-04-13T04:48:43,ok,pickles/moead_ws/c101_21/run07.pkl,41f34bd
nsga2,c101_21,6,4112095918,850000,850080,105,92,183746930.131568,,14.0,1831.7788,2886.4612,12,1506.819,2026-04-13T04:24:10,2026-04-13T04:49:17,ok,pickles/nsga2/c101_21/run06.pkl,41f34bd
moead_ws,r201_21,4,2700879935,850000,850080,105,49,24546266.438265,,7.0,1184.9252,871.2723,2,2775.465,2026-04-13T04:03:27,2026-04-13T04:49:42,ok,pickles/moead_ws/r201_21/run04.pkl,41f34bd
nsga2,r201_21,8,3024042152,850000,850080,105,104,75011538.459888,,4.0,1165.4238,230.9333,6,2151.958,2026-04-13T04:14:07,2026-04-13T04:49:59,ok,pickles/nsga2/r201_21/run08.pkl,41f34bd
nsga2,c104_21,6,53677659,850000,850080,105,79,39081363.245603,,11.0,1388.6595,0.0,7,1842.056,2026-04-13T04:20:46,2026-04-13T04:51:28,ok,pickles/nsga2/c104_21/run06.pkl,41f34bd
moead_ws,r201_21,5,3504613425,850000,850080,105,65,90462491.54861,,7.0,1154.8323,170.6185,4,2557.887,2026-04-13T04:15:39,2026-04-13T04:58:17,ok,pickles/moead_ws/r201_21/run05.pkl,41f34bd
moead_ws,c104_21,9,3455543857,850000,850080,105,29,85614817.654475,,12.0,1580.4124,0.0,4,2236.888,2026-04-13T04:21:56,2026-04-13T04:59:13,ok,pickles/moead_ws/c104_21/run09.pkl,41f34bd
nsga2,r201_21,4,2043647906,850000,850080,105,100,70848218.21012,,5.0,1128.8325,617.6081,6,2192.022,2026-04-13T04:38:13,2026-04-13T05:14:45,ok,pickles/nsga2/r201_21/run04.pkl,41f34bd
smsemoa,r110_21,2,3205404406,850000,850080,105,42,3217470.881658,,14.0,1459.9768,0.0,7,1528.261,2026-04-13T04:49:42,2026-04-13T05:15:11,ok,pickles/smsemoa/r110_21/run02.pkl,41f34bd
moead_ws,c101_21,5,2805296334,850000,850080,105,72,487563129.091123,,17.0,1818.3699,2909.6693,7,1972.686,2026-04-13T04:45:20,2026-04-13T05:18:13,ok,pickles/moead_ws/c101_21/run05.pkl,41f34bd
nsga2,c104_21,3,2356427652,850000,850080,105,85,40232762.582332,,10.0,1386.1931,107.237,8,1857.503,2026-04-13T04:48:43,2026-04-13T05:19:41,ok,pickles/nsga2/c104_21/run03.pkl,41f34bd
moead_ws,c101_21,6,2672499751,850000,850080,105,36,96867729.120876,,16.0,1758.6111,2374.0047,5,2009.359,2026-04-13T04:46:21,2026-04-13T05:19:51,ok,pickles/moead_ws/c101_21/run06.pkl,41f34bd
moead_ws,c101_21,9,1339076987,850000,850080,105,95,208730739.052462,,17.0,2022.561,2283.8784,4,2017.509,2026-04-13T04:49:17,2026-04-13T05:22:55,ok,pickles/moead_ws/c101_21/run09.pkl,41f34bd
smsemoa,r110_21,1,766908992,850000,850080,105,86,4198753.24942,,15.0,1548.9393,0.0,8,1480.797,2026-04-13T04:58:17,2026-04-13T05:22:58,ok,pickles/smsemoa/r110_21/run01.pkl,41f34bd
smsemoa,r201_21,1,2939818937,850000,850080,105,105,159451811.183195,,5.0,1254.559,403.9596,9,2208.647,2026-04-13T04:49:59,2026-04-13T05:26:48,ok,pickles/smsemoa/r201_21/run01.pkl,41f34bd
smsemoa,r201_21,10,1619829736,850000,850080,105,105,30304288.466728,,6.0,1106.8227,234.9209,4,2141.392,2026-04-13T04:51:28,2026-04-13T05:27:10,ok,pickles/smsemoa/r201_21/run10.pkl,41f34bd
nsga2,c104_21,10,2899614507,850000,850080,105,73,17516273.221585,,11.0,1336.0349,23.7295,5,1882.441,2026-04-13T04:59:13,2026-04-13T05:30:36,ok,pickles/nsga2/c104_21/run10.pkl,41f34bd
smsemoa,c101_21,6,3992374749,850000,850080,105,93,90598057.294937,,16.0,1856.1835,3909.2434,8,1484.102,2026-04-13T05:14:45,2026-04-13T05:39:29,ok,pickles/smsemoa/c101_21/run06.pkl,41f34bd
smsemoa,r110_21,5,411271761,850000,850080,105,72,2644681.594461,,15.0,1575.7234,0.0,8,1520.868,2026-04-13T05:18:13,2026-04-13T05:43:33,ok,pickles/smsemoa/r110_21/run05.pkl,41f34bd
nsga2,c101_21,1,3683813039,850000,850080,105,91,240285652.064044,,13.0,1606.6157,2176.3251,12,1470.465,2026-04-13T05:19:51,2026-04-13T05:44:21,ok,pickles/nsga2/c101_21/run01.pkl,41f34bd
nsga2,r110_21,1,1054917335,850000,850080,105,78,3405781.019545,,15.0,1587.7761,0.0,7,1497.215,2026-04-13T05:19:41,2026-04-13T05:44:38,ok,pickles/nsga2/r110_21/run01.pkl,41f34bd
smsemoa,r110_21,6,3711679017,850000,850080,105,68,2836168.592884,,15.0,1541.3178,0.0,7,1513.947,2026-04-13T05:22:58,2026-04-13T05:48:12,ok,pickles/smsemoa/r110_21/run06.pkl,41f34bd
moead_ws,c101_21,4,424680515,850000,850080,105,54,172059230.926002,,17.0,1975.9005,2375.4287,6,2037.34,2026-04-13T05:15:11,2026-04-13T05:49:08,ok,pickles/moead_ws/c101_21/run04.pkl,41f34bd
smsemoa,r201_21,6,2918610339,850000,850080,105,105,77712188.719421,,6.0,1261.1419,381.5144,6,2071.177,2026-04-13T05:22:55,2026-04-13T05:57:26,ok,pickles/smsemoa/r201_21/run06.pkl,41f34bd
smsemoa,r110_21,8,423694924,850000,850080,105,73,2191949.664758,,15.0,1529.3158,0.0,6,1491.024,2026-04-13T05:39:29,2026-04-13T06:04:20,ok,pickles/smsemoa/r110_21/run08.pkl,41f34bd
smsemoa,r201_21,4,2879242817,850000,850080,105,105,163421623.277716,,5.0,1269.4176,372.2566,8,2260.686,2026-04-13T05:27:10,2026-04-13T06:04:51,ok,pickles/smsemoa/r201_21/run04.pkl,41f34bd
moead_ws,c104_21,8,1412644460,850000,850080,105,49,23916293.79383,,11.0,1353.7814,18.3469,4,2286.482,2026-04-13T05:26:48,2026-04-13T06:04:54,ok,pickles/moead_ws/c104_21/run08.pkl,41f34bd
smsemoa,c101_21,10,63662469,850000,850080,105,86,46728527.534143,,15.0,1784.8972,1875.25,8,1469.171,2026-04-13T05:43:34,2026-04-13T06:08:03,ok,pickles/smsemoa/c101_21/run10.pkl,41f34bd
moead_ws,c104_21,4,2668883206,850000,850080,105,18,48978988.942181,,12.0,1527.6937,11.1193,5,2254.282,2026-04-13T05:30:36,2026-04-13T06:08:10,ok,pickles/moead_ws/c104_21/run04.pkl,41f34bd
smsemoa,c101_21,4,1353212195,850000,850080,105,105,119244869.397461,,14.0,1623.5372,2929.8763,10,1467.418,2026-04-13T05:44:21,2026-04-13T06:08:49,ok,pickles/smsemoa/c101_21/run04.pkl,41f34bd
nsga2,r110_21,6,2410904634,850000,850080,105,53,3579770.016394,,15.0,1562.9206,0.0,7,1478.879,2026-04-13T05:48:12,2026-04-13T06:12:51,ok,pickles/nsga2/r110_21/run06.pkl,41f34bd
smsemoa,c104_21,2,2989363055,850000,850080,105,97,14449827.810135,,11.0,1523.1784,3.6962,6,1838.654,2026-04-13T05:44:38,2026-04-13T06:15:17,ok,pickles/smsemoa/c104_21/run02.pkl,41f34bd
smsemoa,r110_21,3,4097493650,850000,850080,105,94,2333675.333758,,14.0,1509.8642,0.0,7,1472.737,2026-04-13T05:57:26,2026-04-13T06:21:59,ok,pickles/smsemoa/r110_21/run03.pkl,41f34bd
moead_ws,r201_21,2,3435201424,850000,850080,105,51,64232149.639981,,6.0,1148.6482,0.0,4,2411.954,2026-04-13T05:49:08,2026-04-13T06:29:20,ok,pickles/moead_ws/r201_21/run02.pkl,41f34bd
nsga2,r110_21,10,112896153,850000,850080,105,69,3667139.800042,,16.0,1505.2696,0.0,7,1505.872,2026-04-13T06:04:54,2026-04-13T06:30:00,ok,pickles/nsga2/r110_21/run10.pkl,41f34bd
nsga2,r110_21,8,3930832611,850000,850080,105,103,2571021.655848,,15.0,1561.8859,0.0,6,1481.775,2026-04-13T06:08:03,2026-04-13T06:32:45,ok,pickles/nsga2/r110_21/run08.pkl,41f34bd
smsemoa,r110_21,7,2646961727,850000,850080,105,79,5864123.738121,,15.0,1491.5952,1.6772,9,1499.942,2026-04-13T06:08:10,2026-04-13T06:33:10,ok,pickles/smsemoa/r110_21/run07.pkl,41f34bd
moead_ws,r110_21,5,115167834,850000,850080,105,72,4055540.979306,,15.0,1504.0134,0.0,7,1853.007,2026-04-13T06:04:51,2026-04-13T06:35:44,ok,pickles/moead_ws/r110_21/run05.pkl,41f34bd
nsga2,c101_21,5,1478397913,850000,850080,105,93,243799714.367425,,15.0,1813.4302,2439.4179,12,1515.907,2026-04-13T06:12:51,2026-04-13T06:38:07,ok,pickles/nsga2/c101_21/run05.pkl,41f34bd
smsemoa,r201_21,8,1497871417,850000,850080,105,105,45509669.905297,,6.0,1252.3561,765.5279,4,2078.176,2026-04-13T06:08:49,2026-04-13T06:43:27,ok,pickles/smsemoa/r201_21/run08.pkl,41f34bd
moead_ws,r201_21,8,828293974,850000,850080,105,50,123500700.620267,,8.0,1122.9722,313.6847,5,2409.098,2026-04-13T06:04:20,2026-04-13T06:44:29,ok,pickles/moead_ws/r201_21/run08.pkl,41f34bd
moead_ws,c104_21,5,660750067,850000,850080,105,46,87016994.850289,,11.0,1457.3179,0.0,5,2253.376,2026-04-13T06:15:17,2026-04-13T06:52:50,ok,pickles/moead_ws/c104_21/run05.pkl,41f34bd
smsemoa,c101_21,7,1674545815,850000,850080,105,105,33695915.592935,,15.0,1516.4108,2021.9886,7,1445.505,2026-04-13T06:33:10,2026-04-13T06:57:16,ok,pickles/smsemoa/c101_21/run07.pkl,41f34bd
nsga2,c104_21,2,2984942203,850000,850080,105,96,22834067.320865,,11.0,1310.2398,0.0,7,1803.747,2026-04-13T06:29:20,2026-04-13T06:59:24,ok,pickles/nsga2/c104_21/run02.pkl,41f34bd
moead_ws,r110_21,10,3215263266,850000,850080,105,71,2926074.857302,,16.0,1559.6667,0.0,6,1912.035,2026-04-13T06:30:00,2026-04-13T07:01:52,ok,pickles/moead_ws/r110_21/run10.pkl,41f34bd
moead_ws,r201_21,6,2156951464,850000,850080,105,30,70694293.658259,,6.0,1100.882,0.0,4,2486.151,2026-04-13T06:21:59,2026-04-13T07:03:25,ok,pickles/moead_ws/r201_21/run06.pkl,41f34bd
nsga2,c104_21,4,3812711432,850000,850080,105,75,18977425.428927,,11.0,1401.6086,0.0,6,1864.853,2026-04-13T06:35:44,2026-04-13T07:06:48,ok,pickles/nsga2/c104_21/run04.pkl,41f34bd
