algorithm_id,instance,run_idx,seed,n_evals_budget,n_evals_actual,n_feasible,n_pareto,hv_quick,igd_plus_quick,best_f1,best_f2,best_f3,n_f1_layers,elapsed_seconds,timestamp_start,timestamp_end,status,pickle_path,git_commit
nsga2,c201_21,3,979145118,1000000,1000020,105,77,135759296.377178,,4.0,998.2269,3510.6035,6,2956.886,2026-04-11T23:36:23,2026-04-12T00:25:40,ok,pickles/nsga2/c201_21/run03.pkl,7482e60
nsga2,r201_21,2,1392874819,1000000,1000020,105,104,221446750.826887,,6.0,1308.1732,250.89,8,2435.149,2026-04-11T23:50:23,2026-04-12T00:30:58,ok,pickles/nsga2/r201_21/run02.pkl,7482e60
nsga2,rc101_21,3,3628991907,1000000,1000020,105,100,72315505.688813,,20.0,2288.0554,37.6968,19,1665.548,2026-04-12T00:07:33,2026-04-12T00:35:18,ok,pickles/nsga2/rc101_21/run03.pkl,7482e60
nsga2,rc101_21,5,2692326980,1000000,1000020,105,105,38531664.749333,,21.0,2333.1412,43.4526,14,1692.438,2026-04-12T00:09:55,2026-04-12T00:38:07,ok,pickles/nsga2/rc101_21/run05.pkl,7482e60
moead_ws,rc101_21,1,4159716908,1000000,1000020,105,76,88424074.203242,,22.0,2416.3165,19.4198,13,2098.089,2026-04-12T00:07:00,2026-04-12T00:41:58,ok,pickles/moead_ws/rc101_21/run01.pkl,7482e60
moead_ws,c201_21,4,2283581738,1000000,1000020,105,93,180872281.005064,,7.0,1235.1999,6084.2129,2,3218.573,2026-04-11T23:57:28,2026-04-12T00:51:07,ok,pickles/moead_ws/c201_21/run04.pkl,7482e60
smsemoa,c101_21,1,2024993274,1000000,1000020,105,105,72518335.827133,,15.0,1682.6075,2267.1251,8,1793.085,2026-04-12T00:21:27,2026-04-12T00:51:21,ok,pickles/smsemoa/c101_21/run01.pkl,7482e60
smsemoa,r201_21,4,3187308803,1000000,1000020,105,105,30427163.710352,,5.0,1148.1953,262.0639,4,2726.005,2026-04-12T00:08:33,2026-04-12T00:53:59,ok,pickles/smsemoa/r201_21/run04.pkl,7482e60
smsemoa,rc101_21,3,925674508,1000000,1000020,105,105,69698948.972958,,21.0,2299.1732,116.4567,16,1629.094,2026-04-12T00:30:58,2026-04-12T00:58:07,ok,pickles/smsemoa/rc101_21/run03.pkl,7482e60
nsga2,c201_21,1,3848672894,1000000,1000020,105,80,46607486.43806,,5.0,937.6202,1194.5251,4,2699.321,2026-04-12T00:14:10,2026-04-12T00:59:10,ok,pickles/nsga2/c201_21/run01.pkl,7482e60
