algorithm,generation,n_eval,n_feasible,best_f1,best_f2,best_f3,mean_f1_feas,mean_f2_feas,mean_f3_feas,min_cv_pop
NSGA-II,83,8300,69,62.0000,4653.4549,1174.5529,66.0725,4815.6889,1185.2753,0.000000
NSGA-II,84,8400,63,62.0000,4653.4549,1174.5529,66.0317,4805.8740,1184.0075,0.000000
NSGA-II,85,8500,61,61.0000,4653.4549,1174.5529,65.8525,4802.3297,1183.5931,0.000000
NSGA-II,86,8600,58,58.0000,4653.4549,1174.5529,65.7241,4791.8296,1182.8758,0.000000
NSGA-II,87,8700,58,58.0000,4653.4549,1174.5529,65.4483,4787.3015,1182.7038,0.000000
NSGA-II,88,8800,55,58.0000,4653.4549,1174.5529,65.2727,4786.1961,1181.0635,0.000000
NSGA-II,89,8900,52,58.0000,4653.4549,1174.5529,65.0577,4780.8676,1181.1599,0.000000
NSGA-II,90,9000,50,57.0000,4462.8540,1174.5529,64.6800,4776.0967,1181.5473,0.000000
NSGA-II,91,9100,50,57.0000,4462.8540,1174.5529,64.7400,4769.0652,1180.0488,0.000000
NSGA-II,92,9200,52,57.0000,4462.8540,1174.5529,64.6538,4765.9993,1180.3611,0.000000
NSGA-II,93,9300,52,57.0000,4462.8540,1174.5529,64.5769,4755.4130,1180.0810,0.000000
NSGA-II,94,9400,53,57.0000,4462.8540,1174.5529,64.3208,4743.1267,1180.3853,0.000000
NSGA-II,95,9500,51,57.0000,4462.8540,1174.5529,64.0784,4742.3111,1179.9174,0.000000
NSGA-II,96,9600,51,57.0000,4462.8540,1174.5529,64.0196,4739.6417,1179.5076,0.000000
NSGA-II,97,9700,54,55.0000,4403.9472,1174.5529,63.7778,4731.8516,1180.2169,0.000000
NSGA-II,98,9800,55,55.0000,4403.9472,1174.5529,63.4364,4733.7463,1180.5225,0.000000
NSGA-II,99,9900,56,55.0000,4403.9472,1174.5529,62.9821,4729.5529,1181.0205,0.000000
NSGA-II,100,10000,59,55.0000,4403.9472,1174.5529,62.8305,4722.7481,1181.7055,0.000000
MOEA/D,1,105,0,,,,,,,0.137940
MOEA/D,2,210,0,,,,,,,0.052884
MOEA/D,3,315,0,,,,,,,0.052884
MOEA/D,4,420,65,82.0000,5245.9743,1174.5529,83.7692,5270.5543,1182.8454,0.000000
MOEA/D,5,525,101,82.0000,5216.8241,1174.5529,82.9109,5251.2208,1174.5529,0.000000
MOEA/D,6,630,105,81.0000,5194.8771,1174.5529,82.8000,5230.5410,1174.5529,0.000000
MOEA/D,7,735,105,81.0000,5191.0127,1174.5529,82.3905,5217.3897,1174.5529,0.000000
MOEA/D,8,840,105,79.0000,5010.1814,1174.5529,81.3810,5082.7336,1174.5529,0.000000
MOEA/D,9,945,104,79.0000,4947.5313,1174.5529,80.9808,5032.8690,1174.5529,0.000000
MOEA/D,10,1050,104,79.0000,4913.2820,1174.5529,80.8558,4976.9264,1174.5529,0.000000
MOEA/D,11,1155,104,78.0000,4913.2820,1174.5529,80.3173,4957.5040,1174.5529,0.000000
MOEA/D,12,1260,104,77.0000,4872.6021,1174.5529,79.5000,4928.7078,1174.5529,0.000000
MOEA/D,13,1365,105,77.0000,4831.5411,1174.5529,79.3048,4890.7109,1174.5529,0.000000
MOEA/D,14,1470,105,77.0000,4828.1153,1174.5529,79.1429,4860.7469,1174.5529,0.000000
MOEA/D,15,1575,105,76.0000,4729.3033,1174.5529,77.5524,4785.1122,1174.5529,0.000000
MOEA/D,16,1680,105,75.0000,4723.4606,1174.5529,77.1619,4774.5411,1174.5529,0.000000
MOEA/D,17,1785,105,73.0000,4690.7757,1174.5529,75.8381,4735.3144,1174.5529,0.000000
MOEA/D,18,1890,105,74.0000,4690.7757,1174.5529,75.2286,4721.5521,1174.5529,0.000000
MOEA/D,19,1995,105,72.0000,4647.5604,1174.5529,73.1810,4673.0253,1174.5529,0.000000
MOEA/D,20,2100,105,72.0000,4644.6048,1174.5529,72.9048,4662.5554,1174.5529,0.000000
MOEA/D,21,2205,105,71.0000,4615.2112,1174.5529,72.2381,4639.4857,1174.5529,0.000000
MOEA/D,22,2310,105,70.0000,4533.1873,1174.5529,72.1524,4618.5467,1174.5529,0.000000
MOEA/D,23,2415,105,70.0000,4533.1873,1174.5529,72.0762,4610.5626,1174.5529,0.000000
MOEA/D,24,2520,105,70.0000,4533.1873,1174.5529,71.8571,4580.4684,1174.5529,0.000000
MOEA/D,25,2625,105,70.0000,4497.9041,1174.5529,71.3524,4570.8133,1174.5529,0.000000
MOEA/D,26,2730,105,70.0000,4497.9041,1174.5529,71.6095,4546.8350,1174.5529,0.000000
MOEA/D,27,2835,105,69.0000,4488.3679,1174.5529,70.9143,4529.7390,1174.5529,0.000000
MOEA/D,28,2940,105,69.0000,4454.7375,1174.5529,70.1238,4494.7578,1174.5529,0.000000
MOEA/D,29,3045,105,69.0000,4454.7375,1174.5529,69.8667,4489.9181,1174.5529,0.000000
MOEA/D,30,3150,105,69.0000,4454.7375,1174.5529,69.8476,4482.2615,1174.5529,0.000000
MOEA/D,31,3255,105,66.0000,4406.7904,1174.5529,67.5714,4437.6671,1174.5529,0.000000
MOEA/D,32,3360,105,66.0000,4391.7929,1174.5529,66.8286,4420.0429,1174.5529,0.000000
MOEA/D,33,3465,105,66.0000,4391.7929,1174.5529,66.4571,4414.5376,1174.5529,0.000000
MOEA/D,34,3570,105,66.0000,4387.9274,1174.5529,66.3333,4408.3738,1174.5529,0.000000
MOEA/D,35,3675,105,65.0000,4387.9274,1174.5529,66.2476,4406.8250,1174.5529,0.000000
MOEA/D,36,3780,105,65.0000,4381.6809,1174.5529,66.0190,4401.6877,1174.5529,0.000000
MOEA/D,37,3885,105,65.0000,4381.6809,1174.5529,65.9905,4401.4431,1174.5529,0.000000
MOEA/D,38,3990,105,65.0000,4381.6809,1174.5529,66.0000,4401.3313,1174.5529,0.000000
MOEA/D,39,4095,105,65.0000,4361.7259,1174.5529,65.6571,4389.9144,1174.5529,0.000000
MOEA/D,40,4200,105,65.0000,4335.4455,1174.5529,65.5619,4376.5587,1174.5529,0.000000
MOEA/D,41,4305,105,65.0000,4335.4455,1174.5529,65.1619,4368.3301,1174.5529,0.000000
MOEA/D,42,4410,105,65.0000,4321.5783,1174.5529,65.1238,4360.9692,1174.5529,0.000000
MOEA/D,43,4515,105,65.0000,4321.5783,1174.5529,65.1238,4360.4138,1174.5529,0.000000
MOEA/D,44,4620,105,65.0000,4321.5783,1174.5529,65.1810,4350.9913,1174.5529,0.000000
MOEA/D,45,4725,105,65.0000,4315.2512,1174.5529,65.0762,4343.8027,1174.5529,0.000000
MOEA/D,46,4830,105,65.0000,4315.2512,1174.5529,65.1429,4340.9287,1174.5529,0.000000
MOEA/D,47,4935,105,65.0000,4315.2512,1174.5529,65.1238,4338.4446,1174.5529,0.000000
MOEA/D,48,5040,105,64.0000,4315.2512,1174.5529,65.0762,4337.3895,1174.5529,0.000000
MOEA/D,49,5145,105,64.0000,4315.2512,1174.5529,65.0476,4330.9479,1174.5529,0.000000
MOEA/D,50,5250,105,64.0000,4287.4912,1174.5529,64.8476,4324.4908,1174.5529,0.000000
MOEA/D,51,5355,105,64.0000,4287.4912,1174.5529,64.8381,4323.3096,1174.5529,0.000000
MOEA/D,52,5460,105,63.0000,4287.4912,1174.5529,64.4762,4319.8350,1174.5529,0.000000
MOEA/D,53,5565,105,63.0000,4287.4912,1174.5529,64.4762,4319.8350,1174.5529,0.000000
MOEA/D,54,5670,105,63.0000,4287.4912,1174.5529,64.4762,4319.8350,1174.5529,0.000000
MOEA/D,55,5775,105,63.0000,4276.4116,1174.5529,64.7714,4310.0384,1174.5529,0.000000
MOEA/D,56,5880,105,63.0000,4276.4116,1174.5529,64.4571,4300.7015,1174.5529,0.000000
MOEA/D,57,5985,105,63.0000,4272.5836,1174.5529,64.7048,4291.5705,1174.5529,0.000000
MOEA/D,58,6090,105,63.0000,4233.3493,1174.5529,64.6857,4275.4978,1174.5529,0.000000
MOEA/D,59,6195,105,63.0000,4233.3493,1174.5529,64.3429,4270.6568,1174.5529,0.000000
MOEA/D,60,6300,105,63.0000,4216.5451,1174.5529,64.4952,4259.0482,1174.5529,0.000000
MOEA/D,61,6405,105,63.0000,4216.5451,1174.5529,64.5905,4249.6995,1174.5529,0.000000
MOEA/D,62,6510,105,63.0000,4216.5451,1174.5529,65.3048,4246.0053,1174.5529,0.000000
MOEA/D,63,6615,105,63.0000,4201.8564,1174.5529,65.0000,4235.0343,1174.5529,0.000000
MOEA/D,64,6720,105,63.0000,4196.2821,1174.5529,65.5238,4229.1079,1174.5529,0.000000
MOEA/D,65,6825,105,63.0000,4196.2821,1174.5529,65.6190,4223.3806,1174.5529,0.000000
MOEA/D,66,6930,105,63.0000,4196.2821,1174.5529,65.6000,4222.9240,1174.5529,0.000000
MOEA/D,67,7035,105,63.0000,4196.2821,1174.5529,65.7238,4219.5592,1174.5529,0.000000
MOEA/D,68,7140,105,63.0000,4196.2821,1174.5529,65.6857,4218.9976,1174.5529,0.000000
MOEA/D,69,7245,105,63.0000,4196.2821,1174.5529,65.6857,4218.9976,1174.5529,0.000000
MOEA/D,70,7350,105,63.0000,4196.1295,1174.5529,65.3810,4212.2304,1174.5529,0.000000
