algorithm,generation,n_eval,n_feasible,best_f1,best_f2,best_f3,mean_f1_feas,mean_f2_feas,mean_f3_feas,min_cv_pop
NSGA-II,82,8139,86,4.0000,437.0246,1162.8058,5.2558,453.9507,1170.6557,0.000000
NSGA-II,83,8239,86,4.0000,437.0246,1162.8058,5.2558,454.0500,1170.3350,0.000000
NSGA-II,84,8339,86,4.0000,437.0246,1162.8058,5.2558,453.7604,1170.4014,0.000000
NSGA-II,85,8439,85,4.0000,437.0246,1162.8058,5.2353,453.4822,1170.4908,0.000000
NSGA-II,86,8539,85,4.0000,437.0246,1162.8058,5.2353,453.4822,1170.4908,0.000000
NSGA-II,87,8639,85,4.0000,437.0246,1162.8058,5.2353,453.4822,1170.4908,0.000000
NSGA-II,88,8739,85,4.0000,437.0246,1162.8058,5.2235,453.1970,1170.3354,0.000000
NSGA-II,89,8839,84,4.0000,437.0246,1162.8058,5.2262,452.8454,1170.4250,0.000000
NSGA-II,90,8939,84,4.0000,437.0246,1162.8058,5.2024,452.4691,1170.7533,0.000000
NSGA-II,91,9039,84,4.0000,437.0246,1162.8058,5.2024,452.4190,1170.8213,0.000000
NSGA-II,92,9139,83,4.0000,437.0246,1162.8058,5.1807,452.1901,1170.9179,0.000000
NSGA-II,93,9239,83,4.0000,437.0246,1162.8058,5.1807,451.9330,1171.2167,0.000000
NSGA-II,94,9339,82,4.0000,437.0246,1162.8058,5.1707,451.8293,1171.3192,0.000000
NSGA-II,95,9439,83,4.0000,425.9551,1162.8058,5.1566,451.5176,1171.5489,0.000000
NSGA-II,96,9539,84,4.0000,425.9551,1162.8058,5.1548,450.9913,1171.5128,0.000000
NSGA-II,97,9639,84,4.0000,425.9551,1162.8058,5.1429,450.8676,1171.5128,0.000000
NSGA-II,98,9739,83,4.0000,425.9551,1162.8058,5.1325,450.5133,1171.5843,0.000000
NSGA-II,99,9839,83,4.0000,425.9551,1162.8058,5.1325,450.3028,1171.8477,0.000000
NSGA-II,100,9939,83,4.0000,425.9551,1162.8058,5.1325,450.3028,1171.8477,0.000000
NSGA-II,101,10039,83,4.0000,425.9551,1162.8058,5.1325,450.6101,1171.5843,0.000000
NSGA-II,102,10139,82,4.0000,425.9551,1162.8058,5.1098,449.7091,1171.9580,0.000000
NSGA-II,103,10239,83,4.0000,425.9551,1162.8058,5.1205,450.3855,1171.5486,0.000000
NSGA-II,104,10339,83,4.0000,425.9551,1162.8058,5.1084,449.7653,1171.5155,0.000000
