task_id,algorithm_id,config_idx,instance,seed,pc,pm,n_neighbors,prob_neighbor_mating,decomposition,ref_dirs_method,pbi_theta,n_evals_budget,n_feasible,n_pareto,hv_local,best_f1,best_f2,best_f3,elapsed_s,status,front_path
218,nsga2,28,r101_21,793353644,0.7052,0.08589,,,,,,400000,105,105,34085132.83,23.00,2009.54,42.63,635.9,ok,fronts/nsga2__r101_21__cfg28.pkl
186,moead_ws,24,r201_21,347688411,0.1398,0.01527,9,0.4169,tchebycheff,das-dennis,,400000,105,104,15945924.67,9.00,2165.16,3730.21,1513.5,ok,fronts/moead_ws__r201_21__cfg24.pkl
202,smsemoa,11,r201_21,60034378,0.5841,0.04071,,,,,,400000,105,105,5138442.03,6.00,1391.87,751.13,1579.0,ok,fronts/smsemoa__r201_21__cfg11.pkl
234,moead_ws,5,c101_21,3410401481,0.3976,0.00557,6,0.6629,tchebycheff,das-dennis,,400000,105,91,190936417.33,21.00,2818.19,4876.58,899.1,ok,fronts/moead_ws__c101_21__cfg05.pkl
230,nsga2,31,rc201_21,1521921183,0.6684,0.01469,,,,,,400000,105,105,71459036.9,6.00,1813.96,19.28,1055.2,ok,fronts/nsga2__rc201_21__cfg31.pkl
246,moead_ws,21,rc101_21,2375754895,0.0991,0.12292,21,0.9796,pbi,das-dennis,8.015,400000,105,91,694380.38,39.00,3728.04,697.94,807.5,ok,fronts/moead_ws__rc101_21__cfg21.pkl
250,smsemoa,29,rc101_21,859336470,0.2812,0.043,,,,,,400000,105,105,24899818.6,21.00,2431.59,23.17,769.5,ok,fronts/smsemoa__rc101_21__cfg29.pkl
222,smsemoa,3,r201_21,3014051977,0.7788,0.05968,,,,,,400000,105,105,14157472.43,6.00,1605.12,461.68,1250.6,ok,fronts/smsemoa__r201_21__cfg03.pkl
254,nsga2,50,rc101_21,3247330606,0.118,0.2414,,,,,,400000,105,105,44096806.41,19.00,2198.86,19.89,825.8,ok,fronts/nsga2__rc101_21__cfg50.pkl
238,moead_ws,30,c201_21,1577600995,0.7257,0.00162,5,0.9359,pbi,das-dennis,9.63,400000,105,84,2794900.8,14.00,3721.56,42309.23,1291.1,ok,fronts/moead_ws__c201_21__cfg30.pkl
258,nsga2,47,c101_21,3285222473,0.4462,0.00879,,,,,,400000,105,105,97385345.92,16.00,1910.49,1190.56,732.1,ok,fronts/nsga2__c101_21__cfg47.pkl
266,moead_ws,49,rc101_21,2067198537,0.801,0.19873,5,0.6981,pbi,energy,1.361,400000,105,102,255743.8,41.00,3881.81,706.08,794.5,ok,fronts/moead_ws__rc101_21__cfg49.pkl
278,nsga2,30,r101_21,701748871,0.1398,0.00192,,,,,,400000,105,105,24585944.14,20.00,1875.19,7.84,854.6,ok,fronts/nsga2__r101_21__cfg30.pkl
262,smsemoa,5,r101_21,2756084139,0.0964,0.17213,,,,,,400000,104,104,24989644.49,23.00,2128.38,49.19,974.9,ok,fronts/smsemoa__r101_21__cfg05.pkl
282,smsemoa,18,c101_21,1776170612,0.5909,0.00114,,,,,,400000,105,105,38010919.92,17.00,2012.97,2792.16,773.5,ok,fronts/smsemoa__c101_21__cfg18.pkl
286,nsga2,2,r101_21,3339480328,0.8586,0.05339,,,,,,400000,105,105,17964609.0,23.00,2024.88,12.21,619.5,ok,fronts/nsga2__r101_21__cfg02.pkl
242,smsemoa,27,r201_21,58455065,0.1402,0.02357,,,,,,400000,105,105,10800277.34,6.00,1460.26,880.69,1862.2,ok,fronts/smsemoa__r201_21__cfg27.pkl
226,nsga2,43,c201_21,437849921,0.0227,0.00167,,,,,,400000,105,105,107713084.27,5.00,1150.75,1532.47,2198.8,ok,fronts/nsga2__c201_21__cfg43.pkl
274,smsemoa,15,rc101_21,226679532,0.1034,0.02855,,,,,,400000,105,105,16471459.95,23.00,2651.88,47.77,1163.1,ok,fronts/smsemoa__rc101_21__cfg15.pkl
310,nsga2,34,rc101_21,3737840817,0.5592,0.00566,,,,,,400000,105,105,13868885.47,23.00,2490.39,31.95,640.1,ok,fronts/nsga2__rc101_21__cfg34.pkl
270,nsga2,35,c101_21,318716342,0.0308,0.01207,,,,,,400000,105,105,153017345.2,16.00,1888.28,2601.17,1597.6,ok,fronts/nsga2__c101_21__cfg35.pkl
306,moead_ws,16,rc101_21,4027741844,0.1746,0.00136,4,0.5911,tchebycheff,energy,,400000,105,100,6608667.77,33.00,3519.83,469.89,757.9,ok,fronts/moead_ws__rc101_21__cfg16.pkl
290,nsga2,49,c201_21,3209939659,0.3618,0.00165,,,,,,400000,105,105,122565501.59,5.00,1368.65,4713.87,1329.9,ok,fronts/nsga2__c201_21__cfg49.pkl
